Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Sverre,Mathisen,Moenroa 8,Thomassen,4873,Norge,NO,19520519-3590,+47,+47 36 58 40 93,1952-05-19,True
Egon,Johansson,Ängstorget 92,Gävle,30902,Sverige,SE,19660925-9868,+46,+46 (0)8 301 204 03,1966-09-25,True
Börje,Larsson,Ängsgatan 69,Linköping,55053,Sverige,SE,19830127-9972,+46,+46 (0)804 445 15,1983-01-27,True
Elisabeth,Eriksson,Björkgatan 0,Trollhättan,86420,Sverige,SE,19970831-6506,+46,+46 (0)63 43 41 40,1997-08-31,True
Maren,Ali,Kristoffersenengen 2,Martestad,6493,Norge,NO,19440207-6058,+47,907 61 693,1944-02-07,True
Hanna,Lind,Granvägen 772,Borlänge,66875,Sverige,SE,19710320-1761,+46,0134-477 57,1971-03-20,True
Raymond,Lewis,Austin Knolls 62109,West Laura,51048,Danmark,DK,19631215-4599,+45,383-303-1807x66547,1963-12-15,True
Elizabeth,Fitzgerald,James Mission 798,Juanland,43628,Danmark,DK,19650209-2589,+45,001-220-606-3939x6301,1965-02-09,True
Ingeborg,Haugland,Ahmedgjerdet 7,Mikkelsen,3384,Norge,NO,19750830-6004,+47,82030924,1975-08-30,True
Marjatta,Nissinen,Jälsikatu 61,Iisalmi,90223,Finland,FI,19580508-470D,+358,+358 72 4417324,1958-05-08,True
Ulf,Abrahamsson,Gengatan 237,Östersund,75302,Sverige,SE,19720827-0032,+46,098-48 40 92,1972-08-27,True
Inger,Andreasson,Nygränd 03,Lidingö,57046,Sverige,SE,19681209-5524,+46,+46 (0)31 40 28 66,1968-12-09,True
Karin,Nilsson,Skogsgränd 836,Örebro,70917,Sverige,SE,19740519-2589,+46,+46 (0)8 220 712 92,1974-05-19,True
Henry,Persson,Idrottsgatan 60,Kristianstad,66396,Sverige,SE,19621031-9703,+46,0541-71 86 38,1962-10-31,False
